location,start_date,end_date,description,USA for sure,timestamp
Washington,2011-01-14,2011-01-17,Mid Atlantic Leather Weekend,True,20100429143621
Aspen,2011-01-16,2011-01-23,Gay and Lesbian Ski Week,True,20101222151431
Fort Lauderdale,2011-02-06,2011-02-13,Atlantis Caribbean Cruise,True,20100429143621
New Orleans,2011-03-04,2011-03-08,Gay Mardi Gras,True,20100429143621
Miami,2011-03-09,2011-03-14,Winter Party Miami,True,20110221072625
Fort Lauderdale,2011-03-12,2011-03-13,Pridefest South Florida,True,20110221072625
Mammoth Lakes,2011-03-16,2011-03-20,Elevation Mammoth gay ski week,True,20110221072625
Washington,2011-03-31,2011-04-03,Cherry,True,20110221072625
Palm Springs,2011-04-08,2011-04-11,White Party Palm Springs,True,20110221072625
Miami,2011-04-16,2011-04-16,Miami Beach gay pride,True,20110221072625
Cleveland,2011-04-28,2011-05-01,Claw Leather Awareness,True,20110423050351
Dallas,2011-04-29,2011-05-02,Purple Party,True,20110423050351
Hawaii,2011-05-09,2011-05-15,Paradise Circuit Festival,True,20110423050351
New York,2011-05-15,2011-05-15,NY AIDS Walk,True,20110423050351
Los Angeles,2011-05-21,2011-05-22,Long Beach Pride,True,20110520094401
Miami,2011-05-26,2011-05-31,Sizzle,True,20101222151431
Washington,2011-05-26,2011-05-29,DC Black Pride,True,20110221072625
Miami,2011-05-26,2011-05-31,Sizzle,True,20110221072625
Washington,2011-05-26,2011-05-29,DC Black Pride,True,20110423050351
Miami,2011-05-26,2011-05-31,Sizzle,True,20110423050351
Washington,2011-05-26,2011-05-29,DC Black Pride,True,20110520094401
Miami,2011-05-26,2011-05-31,Sizzle,True,20110520094401
Chicago,2011-05-27,2011-05-30,International Mr Leather,True,20110520094401
Orlando,2011-05-31,2011-06-06,Disney Gay Days,True,20110520094401
Washington,2011-06-02,2011-06-12,Capital pride,True,20101222151431
Orlando,2011-06-02,2011-06-06,Wonder World,True,20110221072625
Washington,2011-06-02,2011-06-12,Capital pride,True,20110221072625
Orlando,2011-06-02,2011-06-06,Wonder World,True,20110423050351
Washington,2011-06-02,2011-06-12,Capital pride,True,20110423050351
Orlando,2011-06-02,2011-06-06,Wonder World,True,20110520094401
Washington,2011-06-02,2011-06-12,Capital pride,True,20110520094401
Boston,2011-06-03,2011-06-12,Boston Pride,True,20110520094401
Key West,2011-06-08,2011-06-11,Key West PrideFest ,True,20110221072625
Key West,2011-06-08,2011-06-12,Key West PrideFest ,True,20110520094401
Los Angeles,2011-06-10,2011-06-12,Los Angeles Pride,True,20110520094401
Portland,2011-06-17,2011-06-19,Portland Pride,True,20110520094401
New York,2011-06-18,2011-06-26,NYC Gay Pride,True,20110622195934
New York,2011-06-19,2011-06-19,Folsom Street East,True,20110520094401
New Orleans,2011-06-24,2011-06-27,Gay Pride New Orleans,True,20110423050351
